model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
Citigo,2017,7000,Manual,2987,Petrol,145,64.2,1.0,Skoda
3 Series,2019,23990,Semi-Auto,8389,Petrol,145,47.9,2.0,BMW
Mondeo,2017,10440,Manual,51318,Diesel,20,67.3,2.0,Ford
E Class,2017,22750,Automatic,20737,Diesel,145,65.7,2.0,Mercedes-Benz
Q2,2020,26990,Semi-Auto,5000,Petrol,145,42.2,1.5,Audi
5 Series,2018,26995,Automatic,6800,Diesel,145,68.9,2.0,BMW
Mokka X,2019,12890,Manual,10366,Petrol,150,39.2,1.4,Vauxhall
E Class,2019,25676,Semi-Auto,9155,Diesel,145,72.4,2.0,Mercedes-Benz
Focus,2018,11800,Manual,12621,Petrol,145,60.1,1.0,Ford
Zafira,2014,7298,Manual,41857,Diesel,150,55.4,2.0,Vauxhall
Up,2013,4750,Manual,40211,Petrol,20,62.8,1.0,Volkswagen
Insignia,2018,14499,Manual,23587,Petrol,145,49.6,1.5,Vauxhall
Auris,2017,9298,Manual,28751,Petrol,145,51.4,1.3,Toyota
Polo,2014,7222,Manual,43900,Petrol,20,58.9,1.0,Volkswagen
4 Series,2019,27480,Semi-Auto,6196,Diesel,145,50.4,3.0,BMW
C Class,2019,30099,Semi-Auto,2924,Diesel,145,56.5,2.0,Mercedes-Benz
T-Roc,2019,19980,Manual,2000,Diesel,145,50.4,1.6,Volkswagen
Focus,2019,22000,Automatic,4855,Diesel,145,64.2,2.0,Ford
Viva,2018,6990,Manual,10430,Petrol,145,61.4,1.0,Vauxhall
Ka+,2017,6830,Manual,16207,Petrol,145,57.7,1.2,Ford
A3,2015,13240,Manual,54623,Diesel,20,67.3,2.0,Audi
B Class,2013,7395,Manual,70230,Diesel,30,64.2,1.8,Mercedes-Benz
3 Series,2020,40150,Semi-Auto,319,Petrol,145,42.2,2.0,BMW
Golf,2020,32300,Semi-Auto,3000,Petrol,145,37.7,2.0,Volkswagen
Yeti Outdoor,2017,12990,Semi-Auto,19896,Petrol,125,51.4,1.2,Skoda
Focus,2019,16410,Manual,5,Diesel,145,74.3,1.5,Ford
E Class,2019,34899,Semi-Auto,4772,Diesel,145,70.6,2.0,Mercedes-Benz
5 Series,2019,23000,Automatic,11476,Petrol,145,50.4,2.0,BMW
3 Series,2016,12400,Manual,33270,Petrol,150,48.7,2.0,BMW
Yaris,2018,10600,Manual,12189,Petrol,150,47.1,1.5,Toyota
Fiesta,2017,9500,Manual,12154,Petrol,0,65.7,1.0,Ford
Grand Tourneo Connect,2016,13995,Manual,13000,Diesel,30,64.2,1.5,Ford
Insignia,2014,8000,Manual,45780,Diesel,0,76.3,2.0,Vauxhall
Meriva,2016,8810,Automatic,3949,Petrol,235,39.8,1.4,Vauxhall
Crossland X,2019,15990,Manual,7692,Petrol,145,47.1,1.2,Vauxhall
X1,2017,21998,Semi-Auto,5020,Diesel,145,60.1,2.0,BMW
5 Series,2013,8975,Manual,65000,Diesel,125,58.9,2.0,BMW
A4,2019,24444,Automatic,2208,Petrol,145,39.2,2.0,Audi
Aygo,2018,8973,Automatic,10001,Petrol,145,56.5,1.0,Toyota
Citigo,2018,7495,Manual,28000,Petrol,150,64.2,1.0,Skoda
A3,2017,17400,Manual,24200,Petrol,145,54.3,1.5,Audi
I30,2015,7695,Manual,47500,Diesel,0,78.4,1.6,Hyundai
Mokka,2016,9999,Manual,8638,Petrol,200,40.9,1.6,Vauxhall
Tiguan,2013,9995,Semi-Auto,65412,Diesel,205,47.7,2.0,Volkswagen
Corsa,2011,4995,Automatic,39000,Petrol,140,49.6,1.4,Vauxhall
Santa Fe,2016,20681,Semi-Auto,19201,Diesel,240,42.8,2.2,Hyundai
i3,2017,19495,Automatic,17338,Hybrid,135,470.8,0.0,BMW
Kodiaq,2020,31995,Automatic,200,Diesel,145,42.2,2.0,Skoda
E Class,2015,15999,Semi-Auto,30000,Diesel,150,55.4,2.1,Mercedes-Benz
Fiesta,2017,10950,Manual,14292,Petrol,145,65.7,1.0,Ford
3 Series,2017,15460,Semi-Auto,24628,Petrol,145,47.9,2.0,BMW
Fabia,2018,10490,Manual,12332,Petrol,145,64.2,1.0,Skoda
Focus,2005,1995,Manual,40000,Petrol,205,44.1,1.6,Ford
Focus,2017,11300,Manual,21786,Diesel,145,74.3,1.5,Ford
Focus,2018,13995,Manual,13520,Petrol,150,57.7,1.0,Ford
Tiguan,2019,29995,Semi-Auto,5281,Diesel,150,31.4,2.0,Volkswagen
C Class,2014,15894,Semi-Auto,33896,Diesel,30,64.2,2.1,Mercedes-Benz
Focus,2018,18497,Manual,13169,Petrol,145,41.5,2.0,Ford
Sharan,2018,22650,Manual,17291,Diesel,145,43.5,2.0,Volkswagen
Yaris,2018,8985,Manual,42658,Petrol,145,58.9,1.5,Toyota
Focus,2017,11199,Manual,22625,Diesel,0,74.3,1.5,Ford
Touran,2016,17899,Semi-Auto,18924,Diesel,125,60.1,2.0,Volkswagen
Corsa,2017,7999,Manual,14170,Petrol,150,55.4,1.4,Vauxhall
7 Series,2017,38950,Semi-Auto,7500,Petrol,150,35.3,4.4,BMW
Astra,2017,10998,Manual,18752,Petrol,160,47.1,1.4,Vauxhall
A3,2015,8990,Manual,49000,Diesel,0,83.1,1.6,Audi
A1,2019,19990,Automatic,6262,Petrol,145,47.1,1.0,Audi
A Class,2018,23355,Semi-Auto,4669,Petrol,145,53.3,1.3,Mercedes-Benz
Octavia,2019,18300,Manual,3510,Petrol,145,48.7,1.5,Skoda
Astra,2016,11599,Manual,13709,Petrol,120,51.4,1.4,Vauxhall
Kuga,2018,14750,Manual,47500,Petrol,145,45.6,1.5,Ford
Kuga,2019,20700,Manual,990,Diesel,145,38.2,2.0,Ford
GLA Class,2017,19890,Semi-Auto,20969,Diesel,145,56.5,2.1,Mercedes-Benz
1 Series,2013,10372,Manual,33940,Diesel,30,64.2,2.0,BMW
Corolla,2019,17995,Manual,6551,Petrol,145,39.2,1.2,Toyota
X3,2015,22250,Automatic,37000,Diesel,200,47.9,3.0,BMW
A Class,2019,19290,Automatic,14408,Diesel,145,65.7,1.5,Mercedes-Benz
Golf,2020,21856,Automatic,1243,Diesel,145,53.3,2.0,Volkswagen
C Class,2019,29099,Semi-Auto,8205,Diesel,145,57.7,2.0,Mercedes-Benz
GLC Class,2017,20175,Automatic,56386,Diesel,125,56.5,2.1,Mercedes-Benz
X1,2017,18499,Automatic,41326,Diesel,125,60.1,2.0,BMW
E Class,2018,25495,Semi-Auto,18752,Diesel,145,70.6,2.0,Mercedes-Benz
Up,2020,10999,Manual,500,Petrol,145,54.3,1.0,Volkswagen
Ka+,2018,8800,Manual,6045,Petrol,145,47.9,1.2,Ford
A1,2019,23165,Semi-Auto,6238,Petrol,145,40.9,2.0,Audi
Tucson,2017,11695,Manual,49174,Petrol,145,44.8,1.6,Hyundai
Fiesta,2016,8250,Manual,25300,Petrol,0,65.7,1.0,Ford
Focus,2016,10489,Manual,24121,Petrol,20,61.4,1.0,Ford
T-Roc,2019,21998,Manual,6187,Diesel,145,50.4,2.0,Volkswagen
Golf SV,2016,11987,Automatic,27408,Petrol,30,54.3,1.4,Volkswagen
Amarok,2019,35990,Automatic,8000,Diesel,260,33.6,3.0,Volkswagen
Yaris,2018,13450,Automatic,12121,Hybrid,135,76.3,1.5,Toyota
A3,2015,13990,Manual,28895,Petrol,30,55.4,1.4,Audi
Polo,2017,11290,Manual,19812,Petrol,145,60.1,1.2,Volkswagen
Mokka,2015,10170,Automatic,11805,Petrol,200,40.4,1.4,Vauxhall
Q3,2019,30790,Semi-Auto,6521,Petrol,145,31.7,2.0,Audi
Mokka X,2017,12396,Automatic,25443,Diesel,145,56.5,1.6,Vauxhall
Aygo,2017,9440,Semi-Auto,11074,Petrol,145,67.3,1.0,Toyota
Grandland X,2019,18498,Manual,5797,Diesel,145,48.7,1.5,Vauxhall
Focus,2016,10495,Manual,8311,Diesel,0,74.3,1.5,Ford
Mokka,2013,8195,Manual,31939,Diesel,30,62.8,1.7,Vauxhall
Mondeo,2015,8973,Manual,54803,Diesel,20,68.9,2.0,Ford
Mokka X,2017,9990,Manual,32384,Petrol,150,42.2,1.6,Vauxhall
Corsa,2016,7994,Automatic,40542,Petrol,150,47.9,1.4,Vauxhall
I30,2016,10270,Semi-Auto,15850,Diesel,20,72.4,1.6,Hyundai
Fiesta,2013,5570,Manual,48189,Petrol,0,65.7,1.0,Ford
C Class,2019,28999,Semi-Auto,14366,Diesel,145,57.7,2.0,Mercedes-Benz
Fabia,2017,8999,Manual,19300,Petrol,20,60.1,1.2,Skoda
Fiesta,2014,6995,Manual,51176,Petrol,0,65.7,1.0,Ford
4 Series,2019,27950,Automatic,4900,Petrol,145,48.7,2.0,BMW
Octavia,2017,17350,Semi-Auto,15229,Diesel,145,57.7,2.0,Skoda
GLA Class,2020,25299,Semi-Auto,99,Petrol,145,37.2,1.6,Mercedes-Benz
Arteon,2019,26995,Semi-Auto,4482,Diesel,145,44.1,2.0,Volkswagen
Q3,2017,18291,Manual,28615,Diesel,145,56.5,2.0,Audi
Focus,2019,17410,Manual,2852,Petrol,145,60.1,1.0,Ford
Scala,2019,15995,Semi-Auto,5449,Petrol,150,45.6,1.5,Skoda
I30,2016,8990,Manual,33466,Diesel,0,78.4,1.6,Hyundai
Yaris,2016,8070,Manual,32685,Petrol,0,66.0,1.0,Toyota
A5,2019,37995,Semi-Auto,5000,Petrol,145,36.2,2.0,Audi
Fiesta,2018,10600,Manual,21300,Petrol,145,56.5,1.0,Ford
5 Series,2018,22600,Automatic,23195,Diesel,145,65.7,2.0,BMW
E Class,2019,42999,Semi-Auto,2175,Petrol,145,32.1,3.0,Mercedes-Benz
Golf,2019,13426,Manual,15228,Diesel,145,57.7,1.6,Volkswagen
A1,2013,9798,Semi-Auto,63361,Petrol,150,47.9,1.4,Audi
Octavia,2017,11490,Manual,26607,Petrol,30,55.4,1.4,Skoda
A3,2019,21744,Automatic,14757,Petrol,145,42.2,1.5,Audi
2 Series,2019,23976,Automatic,20,Diesel,145,67.3,2.0,BMW
Golf,2016,10298,Manual,57777,Diesel,0,74.3,1.6,Volkswagen
CL Class,2016,16120,Manual,41115,Diesel,20,67.3,2.1,Mercedes-Benz
X1,2019,27280,Automatic,5231,Petrol,145,48.7,2.0,BMW
C Class,2016,13900,Manual,26108,Petrol,125,52.3,2.0,Mercedes-Benz
Aygo,2018,7880,Manual,22024,Petrol,145,68.9,1.0,Toyota
Corsa,2019,9798,Manual,5197,Petrol,145,43.5,1.4,Vauxhall
Tiguan,2018,22150,Semi-Auto,8282,Petrol,145,40.4,1.4,Volkswagen
1 Series,2019,20760,Automatic,123,Petrol,145,48.7,2.0,BMW
KA,2014,5495,Manual,4800,Petrol,30,57.7,1.2,Ford
Superb,2019,25985,Semi-Auto,4838,Diesel,145,44.1,2.0,Skoda
Tucson,2017,18495,Automatic,35753,Diesel,200,47.1,2.0,Hyundai
A6,2019,25990,Semi-Auto,28950,Diesel,150,50.4,2.0,Audi
Golf,2016,13400,Manual,19910,Diesel,0,74.3,1.6,Volkswagen
I30,2019,19495,Manual,350,Petrol,145,42.2,1.4,Hyundai
Insignia,2018,14499,Manual,30447,Diesel,150,54.3,2.0,Vauxhall
A6,2012,7500,Manual,100230,Diesel,150,56.5,2.0,Audi
Kamiq,2019,18990,Manual,543,Petrol,145,47.9,1.0,Skoda
Focus,2013,5397,Manual,80146,Diesel,20,67.3,1.6,Ford
Mokka,2019,19995,Other,1450,Diesel,145,57.7,1.5,Vauxhall
Corsa,2019,8900,Manual,3668,Petrol,145,43.5,1.4,Vauxhall
B-MAX,2013,4985,Manual,65389,Petrol,30,55.4,1.0,Ford
Fiesta,2020,18200,Manual,10,Petrol,145,49.6,1.0,Ford
Fiesta,2018,8940,Manual,6310,Petrol,145,64.2,1.1,Ford
A3,2016,22950,Semi-Auto,43296,Petrol,200,40.4,2.0,Audi
C Class,2018,42995,Automatic,18000,Petrol,145,32.8,4.0,Mercedes-Benz
C Class,2019,24299,Semi-Auto,12321,Diesel,145,58.9,2.0,Mercedes-Benz
A Class,2015,12998,Semi-Auto,42724,Diesel,20,68.9,2.1,Mercedes-Benz
A3,2019,23434,Automatic,15481,Petrol,145,41.5,1.5,Audi
Corsa,2017,8698,Manual,11698,Petrol,30,54.3,1.4,Vauxhall
E Class,2019,37699,Semi-Auto,11588,Diesel,145,48.7,3.0,Mercedes-Benz
Astra,2017,9499,Manual,18501,Petrol,20,62.8,1.0,Vauxhall
Mokka X,2019,14791,Manual,9337,Petrol,145,39.2,1.4,Vauxhall
Mokka X,2019,12699,Manual,15466,Petrol,145,39.2,1.4,Vauxhall
Golf,2018,13000,Manual,38000,Diesel,150,61.4,1.6,Volkswagen
2 Series,2019,22480,Semi-Auto,1000,Petrol,150,50.4,1.5,BMW
Insignia,2015,7991,Manual,32708,Diesel,0,76.3,2.0,Vauxhall
Q3,2015,15488,Manual,34985,Diesel,160,51.4,2.0,Audi
E Class,2019,45799,Automatic,1000,Diesel,145,48.7,3.0,Mercedes-Benz
Kuga,2019,17997,Manual,7342,Petrol,145,34.4,1.5,Ford
Corolla,2019,22290,Automatic,4633,Hybrid,140,78.5,1.8,Toyota
KA,2013,2975,Manual,69000,Petrol,30,57.7,1.2,Ford
Fiesta,2018,9750,Manual,15696,Petrol,145,65.7,1.0,Ford
E Class,2019,38899,Semi-Auto,2247,Diesel,145,48.7,3.0,Mercedes-Benz
Fabia,2016,6990,Manual,42080,Diesel,0,78.6,1.4,Skoda
Fiesta,2018,13495,Manual,14000,Diesel,145,88.3,1.5,Ford
Aygo,2018,8490,Manual,7050,Petrol,145,56.5,1.0,Toyota
I10,2019,9290,Manual,2811,Petrol,150,49.6,1.0,Hyundai
Fiesta,2014,7491,Manual,34300,Diesel,0,76.4,1.5,Ford
Yaris,2018,11000,Manual,14022,Petrol,150,47.1,1.5,Toyota
Polo,2019,11999,Manual,7948,Petrol,150,48.7,1.0,Volkswagen
B-MAX,2017,10490,Automatic,15000,Petrol,150,44.1,1.6,Ford
Fiesta,2018,12499,Manual,8700,Petrol,145,58.9,1.0,Ford
Fiesta,2019,17500,Manual,9200,Petrol,150,40.3,1.5,Ford
A1,2017,12690,Manual,29040,Petrol,30,55.4,1.4,Audi
Insignia,2016,10400,Manual,28723,Diesel,20,68.9,1.6,Vauxhall
Grandland X,2018,17998,Automatic,20186,Petrol,150,51.4,1.2,Vauxhall
Mondeo,2016,11399,Manual,26162,Diesel,30,64.2,2.0,Ford
Aygo,2018,7300,Manual,14521,Petrol,145,69.0,1.0,Toyota
Superb,2016,12999,Semi-Auto,37828,Petrol,30,55.4,1.4,Skoda
Prius,2017,18495,Automatic,25200,Hybrid,0,94.1,1.8,Toyota
Rapid,2017,10800,Manual,22199,Petrol,30,57.7,1.2,Skoda
A Class,2019,24451,Automatic,12001,Diesel,145,65.7,1.5,Mercedes-Benz
Polo,2015,7990,Manual,46793,Petrol,20,58.9,1.0,Volkswagen
3 Series,2011,4994,Manual,112000,Diesel,30,62.8,2.0,BMW
Fiesta,2017,12000,Automatic,12983,Petrol,145,57.7,1.0,Ford
Fiesta,2015,6800,Manual,35416,Petrol,125,54.3,1.2,Ford
Golf,2015,9883,Manual,25724,Diesel,0,68.9,1.6,Volkswagen
Mokka X,2017,10499,Manual,17332,Petrol,145,47.1,1.4,Vauxhall
Focus,2018,12610,Manual,26052,Petrol,145,57.7,1.0,Ford
3 Series,2016,21995,Semi-Auto,37625,Diesel,205,49.6,3.0,BMW
Golf,2016,14998,Semi-Auto,64456,Diesel,30,62.8,2.0,Volkswagen
4 Series,2019,25320,Automatic,5035,Diesel,145,65.7,2.0,BMW
Kuga,2017,13500,Manual,25799,Diesel,150,64.2,1.5,Ford
Focus,2013,4995,Manual,74015,Diesel,20,67.3,1.6,Ford
Kuga,2018,17999,Semi-Auto,9002,Diesel,145,54.3,2.0,Ford
Mokka X,2018,10998,Manual,37584,Petrol,150,39.2,1.4,Vauxhall
I30,2015,8990,Manual,23968,Diesel,0,78.4,1.6,Hyundai
Kamiq,2019,18990,Manual,6300,Petrol,145,47.1,1.0,Skoda
Santa Fe,2017,14900,Manual,39606,Diesel,200,47.1,2.2,Hyundai
Corsa,2016,7360,Manual,8543,Petrol,30,55.4,1.4,Vauxhall
Kuga,2017,14440,Manual,19864,Diesel,125,60.1,2.0,Ford
T-Roc,2018,20995,Manual,7621,Petrol,145,53.3,1.5,Volkswagen
Fiesta,2013,6299,Manual,39634,Petrol,30,54.3,1.2,Ford
1 Series,2016,11399,Manual,26231,Diesel,0,78.5,1.5,BMW
A6,2017,31850,Semi-Auto,13449,Diesel,145,43.5,3.0,Audi
3 Series,2019,32888,Automatic,13136,Petrol,145,42.2,2.0,BMW
Focus,2017,12500,Automatic,17560,Petrol,145,51.4,1.0,Ford
Yaris,2019,12995,Manual,8600,Petrol,145,47.9,1.5,Toyota
Golf,2015,11399,Manual,21307,Diesel,20,68.9,2.0,Volkswagen
Crossland X,2019,13959,Semi-Auto,17495,Petrol,150,42.2,1.2,Vauxhall
Golf,2016,17895,Semi-Auto,46941,Petrol,205,39.8,2.0,Volkswagen
Kuga,2019,19500,Manual,9136,Diesel,145,38.2,2.0,Ford
Fiesta,2019,15495,Manual,2100,Petrol,145,62.8,1.0,Ford
Hilux,2018,22495,Automatic,26000,Diesel,260,36.2,2.4,Toyota
A6,2019,32000,Automatic,4432,Diesel,145,47.9,2.0,Audi
1 Series,2017,13998,Manual,33094,Diesel,20,72.4,1.5,BMW
Yeti Outdoor,2017,13150,Semi-Auto,19314,Petrol,125,51.4,1.2,Skoda
C Class,2015,12590,Semi-Auto,65000,Diesel,150,53.3,2.1,Mercedes-Benz
Fiesta,2018,12000,Semi-Auto,1786,Petrol,145,50.4,1.0,Ford
Passat,2015,8396,Manual,65800,Diesel,20,70.6,1.6,Volkswagen
GLA Class,2017,16700,Manual,29159,Diesel,145,67.3,2.1,Mercedes-Benz
A6,2016,15495,Semi-Auto,57173,Diesel,20,64.2,2.0,Audi
Rapid,2017,8065,Manual,13456,Diesel,145,74.3,1.4,Skoda
Passat,2018,18499,Semi-Auto,20459,Diesel,145,62.8,2.0,Volkswagen
A Class,2019,24399,Semi-Auto,5310,Petrol,145,53.3,1.3,Mercedes-Benz
C Class,2017,15980,Manual,34691,Diesel,20,68.9,2.1,Mercedes-Benz
1 Series,2016,14017,Manual,12670,Diesel,20,70.6,1.5,BMW
E Class,2018,28990,Semi-Auto,13590,Diesel,145,51.4,3.0,Mercedes-Benz
A3,2018,14175,Manual,16680,Petrol,145,62.8,1.0,Audi
Fiesta,2017,9799,Manual,23337,Petrol,0,65.7,1.0,Ford
Focus,2019,15450,Manual,10794,Petrol,145,60.1,1.0,Ford
Fiesta,2019,11498,Manual,5262,Petrol,150,48.7,1.1,Ford
Fiesta,2017,9995,Manual,9148,Petrol,145,65.7,1.0,Ford
C Class,2019,20980,Semi-Auto,15933,Petrol,145,44.1,1.5,Mercedes-Benz
A6,2019,31880,Automatic,7050,Diesel,145,47.1,2.0,Audi
C-MAX,2016,9990,Manual,37249,Diesel,20,68.9,1.5,Ford
A Class,2017,15124,Manual,15080,Diesel,145,72.4,1.5,Mercedes-Benz
Polo,2017,8995,Manual,12301,Petrol,145,60.1,1.0,Volkswagen
Octavia,2019,25995,Automatic,4200,Diesel,145,67.3,2.0,Skoda
Mokka,2019,15000,Manual,8342,Petrol,145,39.2,1.4,Vauxhall
Corsa,2019,10900,Manual,13766,Petrol,145,43.5,1.4,Vauxhall
A6,2015,12895,Automatic,107390,Diesel,30,64.2,2.0,Audi
Meriva,2016,7640,Automatic,44367,Petrol,235,39.8,1.4,Vauxhall
Astra,2019,15680,Semi-Auto,2471,Petrol,145,51.4,1.4,Vauxhall
E Class,2016,17475,Automatic,42795,Diesel,20,72.4,2.0,Mercedes-Benz
Tiguan,2017,18495,Semi-Auto,37383,Diesel,160,49.6,2.0,Volkswagen
3 Series,2018,22482,Automatic,8850,Diesel,145,60.1,2.0,BMW
Astra,2017,10299,Manual,25522,Diesel,145,72.4,1.6,Vauxhall
S-MAX,2018,18030,Manual,16583,Diesel,145,56.5,2.0,Ford
Tucson,2017,15236,Semi-Auto,19651,Diesel,125,57.6,1.7,Hyundai
5 Series,2016,19799,Automatic,20724,Diesel,160,51.4,3.0,BMW
Up,2019,10690,Manual,4141,Petrol,145,52.3,1.0,Volkswagen
GL Class,2016,16499,Automatic,35333,Diesel,30,64.2,2.1,Mercedes-Benz
Q7,2017,45690,Automatic,36537,Diesel,300,39.2,4.0,Audi
Karoq,2019,25990,Automatic,13472,Petrol,150,34.5,1.5,Skoda
A1,2015,10799,Manual,22266,Petrol,30,55.4,1.4,Audi
Golf,2016,11498,Manual,17733,Diesel,0,74.3,1.6,Volkswagen
Ka+,2018,8407,Manual,14148,Petrol,145,47.9,1.2,Ford
Golf,2020,28990,Semi-Auto,6000,Petrol,145,37.7,2.0,Volkswagen
2 Series,2015,11999,Manual,19893,Diesel,30,65.7,2.0,BMW
Focus,2012,5000,Manual,76000,Petrol,30,56.5,1.0,Ford
Passat,2019,20989,Automatic,14500,Other,150,49.6,2.0,Volkswagen
Yaris,2016,7495,Manual,42752,Petrol,30,58.0,1.3,Toyota
Focus,2017,11498,Manual,20120,Diesel,145,74.3,1.5,Ford
Polo,2015,9491,Manual,25910,Petrol,20,60.1,1.2,Volkswagen
Corsa,2017,7799,Manual,33112,Petrol,145,54.3,1.4,Vauxhall
Insignia,2016,8500,Manual,22717,Diesel,0,74.3,1.6,Vauxhall
Superb,2020,25995,Semi-Auto,2500,Petrol,150,36.7,1.5,Skoda
Golf,2019,17298,Manual,4379,Petrol,145,47.1,1.5,Volkswagen
Tiguan,2017,21298,Manual,39035,Diesel,145,58.9,2.0,Volkswagen
Astra,2017,10488,Semi-Auto,21776,Petrol,145,50.4,1.4,Vauxhall
A Class,2019,23349,Semi-Auto,1000,Diesel,145,67.3,1.5,Mercedes-Benz
E Class,2018,19900,Automatic,35657,Diesel,145,67.3,2.0,Mercedes-Benz
Fiesta,2016,10800,Manual,20615,Petrol,20,62.8,1.0,Ford
E Class,2017,22270,Automatic,13398,Diesel,165,52.3,3.0,Mercedes-Benz
I30,2015,6990,Manual,54063,Diesel,0,78.4,1.6,Hyundai
Superb,2019,17798,Manual,13645,Diesel,145,65.7,2.0,Skoda
A3,2017,17791,Manual,19366,Petrol,145,54.3,1.5,Audi
Octavia,2017,13495,Semi-Auto,9945,Petrol,145,58.9,1.0,Skoda
C Class,2019,26990,Automatic,2368,Petrol,145,42.2,2.0,Mercedes-Benz
C Class,2017,15267,Manual,25820,Petrol,125,53.3,2.0,Mercedes-Benz
Yaris,2017,10995,Automatic,25823,Hybrid,0,86.0,1.5,Toyota
Mokka X,2017,12995,Manual,10992,Petrol,145,47.1,1.4,Vauxhall
Yaris,2018,13444,Automatic,14188,Hybrid,135,76.3,1.5,Toyota
A1,2019,21991,Semi-Auto,4499,Petrol,150,40.9,2.0,Audi
GLA Class,2016,18799,Semi-Auto,18950,Diesel,125,56.5,2.1,Mercedes-Benz
Astra,2019,14990,Manual,3000,Petrol,145,47.9,1.4,Vauxhall
Mondeo,2014,7990,Manual,69000,Diesel,30,61.4,2.0,Ford
Superb,2019,26995,Automatic,4954,Diesel,145,47.1,2.0,Skoda
Astra,2019,15295,Manual,23,Diesel,150,58.9,1.6,Vauxhall
Mokka X,2019,12198,Manual,13125,Petrol,145,39.2,1.4,Vauxhall
Fiesta,2018,9997,Manual,7469,Petrol,145,64.2,1.1,Ford
Polo,2017,10990,Manual,36666,Petrol,20,60.1,1.2,Volkswagen
Mokka,2016,9999,Manual,54700,Diesel,30,65.7,1.6,Vauxhall
Golf,2016,15495,Manual,18203,Diesel,20,68.9,2.0,Volkswagen
KA,2016,6600,Manual,19065,Petrol,30,57.7,1.2,Ford
Fiesta,2017,8200,Manual,10396,Petrol,145,54.3,1.2,Ford
Santa Fe,2016,19797,Manual,14785,Diesel,200,46.3,2.2,Hyundai
Kuga,2018,16790,Manual,7714,Petrol,145,45.6,1.5,Ford
C Class,2019,39894,Automatic,10585,Petrol,145,30.4,3.0,Mercedes-Benz
Focus,2018,18600,Manual,14005,Petrol,145,41.5,2.0,Ford
Tiguan,2018,17294,Manual,21330,Petrol,145,48.7,2.0,Volkswagen
Auris,2016,13295,Automatic,28872,Hybrid,0,72.4,1.8,Toyota
Fiesta,2016,7290,Manual,54184,Diesel,0,88.3,1.5,Ford
Golf,2018,14000,Manual,11984,Petrol,150,54.3,1.4,Volkswagen
Fiesta,2018,11995,Manual,6203,Petrol,145,58.9,1.0,Ford
EcoSport,2017,10200,Manual,15900,Petrol,145,53.3,1.0,Ford
Grandland X,2018,13995,Manual,24313,Diesel,145,70.6,1.6,Vauxhall
Corsa,2015,4310,Manual,74310,Petrol,125,51.4,1.4,Vauxhall
C Class,2014,13500,Automatic,49409,Diesel,20,64.2,2.1,Mercedes-Benz
E Class,2019,26385,Semi-Auto,4298,Diesel,145,67.3,2.0,Mercedes-Benz
I30,2017,10099,Manual,31546,Diesel,145,74.3,1.6,Hyundai
Golf,2017,13700,Semi-Auto,35451,Diesel,145,72.4,1.6,Volkswagen
Auris,2016,11998,Automatic,33126,Hybrid,0,78.5,1.8,Toyota
Verso,2015,13749,Automatic,24321,Petrol,160,43.5,1.8,Toyota
T-Cross,2019,19890,Automatic,3428,Petrol,145,45.6,1.0,Volkswagen
EcoSport,2016,9600,Manual,16505,Petrol,125,53.3,1.0,Ford
B-MAX,2017,8980,Manual,13395,Petrol,145,55.4,1.0,Ford
Golf,2017,13700,Manual,10222,Diesel,145,61.4,1.6,Volkswagen
A1,2019,21000,Semi-Auto,9000,Petrol,145,44.8,1.5,Audi
Polo,2017,11995,Manual,20429,Petrol,0,65.7,1.0,Volkswagen
Polo,2020,14451,Manual,1053,Petrol,150,48.7,1.0,Volkswagen
Focus,2018,12795,Manual,18569,Petrol,150,57.7,1.0,Ford
2 Series,2016,13899,Manual,24169,Petrol,125,50.4,1.5,BMW
Focus,2017,9290,Manual,35006,Petrol,145,60.1,1.0,Ford
Amarok,2019,26999,Automatic,9500,Diesel,260,36.2,3.0,Volkswagen
A5,2017,22495,Semi-Auto,27938,Diesel,125,60.1,3.0,Audi
C-MAX,2013,5250,Manual,94825,Petrol,30,55.4,1.0,Ford
Up,2017,7400,Manual,32558,Petrol,150,64.2,1.0,Volkswagen
Up,2020,11000,Manual,2000,Petrol,145,54.3,1.0,Volkswagen
Aygo,2017,7800,Manual,23000,Petrol,150,68.9,1.0,Toyota
Astra,2015,7998,Manual,49457,Petrol,200,43.5,1.6,Vauxhall
A3,2017,17499,Semi-Auto,10890,Petrol,150,56.5,1.5,Audi
Focus,2017,11991,Manual,23445,Diesel,0,74.3,1.5,Ford
Octavia,2019,18000,Automatic,4000,Petrol,150,54.3,1.5,Skoda
Fiesta,2017,8995,Manual,17103,Diesel,0,78.5,1.5,Ford
Tiguan,2017,16981,Manual,32752,Diesel,125,58.9,2.0,Volkswagen
Crossland X,2017,13995,Manual,7567,Petrol,150,57.7,1.2,Vauxhall
Fiesta,2016,8498,Manual,11457,Petrol,125,54.3,1.2,Ford
Q3,2019,27280,Manual,3000,Diesel,145,42.8,2.0,Audi
Insignia,2018,12995,Manual,14250,Diesel,145,65.7,1.6,Vauxhall
C Class,2016,15199,Automatic,47360,Diesel,20,64.2,2.1,Mercedes-Benz
Kuga,2017,17999,Semi-Auto,16202,Diesel,145,58.9,1.5,Ford
Touran,2017,17200,Semi-Auto,26247,Diesel,30,65.7,1.6,Volkswagen
1 Series,2013,9500,Manual,67000,Diesel,30,62.8,2.0,BMW
Golf,2017,18999,Automatic,23715,Diesel,145,57.7,2.0,Volkswagen
